data_idx,question_idx,prompt_question,prompt_option_a,prompt_option_b,prompt_option_c,prompt_option_d,answer,country
146,146,"In Argentinian culture, how might a male interviewer typically respond when asked about their economic situation?",They might share some details about their personal finances in a general way.,They would provide a detailed breakdown of their monthly expenses.,They might change the subject to avoid discussing finances.,They would openly discuss their salary and investments in detail.,A,Argentina
147,147,"In Argentine culture, how is public education generally viewed regardless of its cost?",As a fundamental right that benefits society.,As a necessary expense best supplemented by private education.,As an optional service that should be privatized to increase competition.,As an investment that individuals should make for their own advancement.,A,Argentina
148,148,"In Egyptian culture, what does saying ""I'll be there in 10 minutes"" actually indicate?","It means soon, which can vary from 20 minutes to an hour and a half.","It means exactly 10 minutes, no more, no less.",It is a way to excuse oneself from attending.,It indicates the person will be early to show respect.,A,Egypt
149,149,What historic event celebrated every year primarily in the Northeast of Brazil involves groups gathering in public squares and streets to sing and dance?,Capoeira - Group of people who come together to dance in certain places in the community,Reisado,Thanksgiving Parade,Bumba meu Boi,D,Brazil
150,150,What is the primary language spoken in Hong Kong?,Cantonese,English,Mandarin,Hongkongese,A,Hong Kong
151,151,"In African-American culture, when is it considered acceptable to touch a black woman's hair?",Only with her explicit consent,When greeting her for the first time,At a casual social gathering,If you're curious about the texture.,A,United States
152,152,"In Mexican culture, what phrase is unlikely to be said before starting a meal to wish everyone enjoyment of their food?",Enjoy your meal,Bon Appétit,Provecho,Buon appetito,C,Mexico
153,153,What does a traditional English breakfast mainly consist of?,"Bacon, eggs, sausages, baked beans, mushrooms, toast with marmalade, and a cup of tea","Pancakes, bacon, and maple syrup with a cup of coffee",Croissants and coffee,"Rice, miso soup, and pickled vegetables.",A,United Kingdom
154,154,"In Brazilian culture, why do people often invite others to their homes soon after meeting them?",To show off their home decoration skills,To demonstrate depth and hospitality,To discuss business deals in a private setting,To have a formal introduction ceremony.,B,Brazil
155,155,"In Taiwan, for what reasons do people commonly use an umbrella?",Only when it's raining,For fasion purpose,For self-defense,In all weather conditions,D,Taiwan
156,156,"In Italian culture, what is cacio e pepe?",A second,A dessert,A food side dish,A first,D,Italy
157,157,"In Italian culture, what is casoncelli?",A first,A second,A side dish,A dessert,A,Italy
158,158,"In Italian culture, what is a trippa?",A second dish,A thin pancake filled with a variety of ingredients.,A small pie filled with fruit or meat.,A cold dessert made from dairy and sugar.,A,Italy
159,159,"In Italian culture, what does ""pota"" mean?",A filler word,A casual greeting,A swear word,A traditional dance.,A,Italy
160,160,"In Peru, how is the importance of family typically demonstrated in social gatherings?",Family members often host large gatherings at home where everyone is invited.,People prefer to meet in public places rather than visiting family homes.,"Social gatherings are usually small and exclusive, prioritizing friends over family.",Family gatherings are typically formal events held in hired venues.,A,Peru
161,161,How do South African coloured people traditionally celebrate their baby's first tooth?,Making pancakes for the baby to eat.,Hosting a large family dinner.,Planting a tree in the baby's honor.,Gifting the baby a silver tooth fairy box.,D,South Africa
162,162,"In Germany, what is the common interaction style with service workers like cashiers?","Generally, they do not engage in small talk such as asking ""how are you?""",They often ask personal questions to create a friendly atmosphere.,They usually start a conversation by asking about your day.,It's common for them to compliment your purchases to make conversation.,A,Germany
163,163,Why is inserting your pair of wooden sticks utilised directly vertically into a bowl of rice considered a faux pas in Chinese culture?,It resembles a religious ritual performed in service of the dead.,It resembles the twin towers which was a tragedy.,It resembles wooden gates and it invites the spirits of the dead into your house.,It means you dislike the food you are eating and are insulting the host or chef.,A,China
164,164,"In Iranian culture, when is it most common for individuals to live with their parents?",Before getting married,After graduating college,When starting a first job,Before 18.,A,Iran
165,165,"In Indonesian Muslim culture, what is the traditional expectation regarding marriage and sexual relations?",Marriage must occur before engaging in sexual relations.,Couples can live together before marriage as a trial period.,"Engagement is considered as strong as marriage itself, allowing sexual relations.",Casual dating with sexual relations is acceptable before deciding on marriage.,A,Indonesia
166,166,What's the polite way for Thai students to pass by their seated teacher?,Politely duck while walking by to avoid being over the seated person's head.,Respectfully announce arrival to the teacher to acknowledge their presence before walking in front of them.,Walk in front of the teacher without any specific gesture or acknowledgment.,Offer a wai hand gesture to the seated teacher before passing in front.,A,Thailand
167,167,"In Pakistani culture, what is the custom for Muslims regarding prayers on a specific day of the week?",Praying at mosque on Sunday,Offering Friday prayer,praying before lunch time,Meditating on Friday morning.,B,Pakistan
168,168,"In Pakistani culture, how often is it common to pray in a day?",Once a week,Twice a day,Five times a day,Three times a day.,C,Pakistan
169,169,"In Saudi culture, how do people typically handle paying the restaurant bill when dining with friends and family?",Insist on paying the bill at least twice.,Split the bill equally among everyone.,Take turns paying the bill on different occasions.,Only the person who invites pays the entire bill.,A,Saudi Arabia
170,170,"In Arabic culture, which foot is traditionally not used first when stepping into a respectful place?",Left foot,Right foot,Both feet together,No specific foot is preferred.,A,Saudi Arabia
171,171,"In Saudi Arabia, how should you give an item to someone?",With both hands to show respect,"With the left hand, as it is considered more respectful","With the right hand, as it is the polite and customary way","Toss it to them, as informal exchanges are typical in this culture.",C,Saudi Arabia
172,172,"In Saudi Arabia, what is not preferred way to break the fast?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Eating dates and drinking a small quantity of water
(ii) Having a cup of coffee
(iii) Consuming a substantial feast immediately and drinking huge amount of water
(iv) Starting with a slice of pizza","i, iv","iii, iv","i, iii","ii, iii, iv",B,Saudi Arabia
